job_title, company_name, job_type, work_mode
Project Listing Specialist & Data Analyst for E-Commerce Platforms,armonia vita  -,Full Time,On-site
Business Data Analyst (Finance-Oriented),Mazzika Group -,Full Time,On-site
Data Analyst,Linrco Egypt -,Full Time,On-site
Commercial Specialist ( Junior Data Analyst ),realme -,Full Time,On-site
Data Analyst + Instructor (Excel & Power BI),EpsilonAI -,Full Time,Hybrid
Financial Analyst,Confidential -,Full Time,On-site
Bookkeeping Analyst I,Assist Group Limited  -,Full Time,On-site
Financial Analyst,Fawry Plus -,Full Time,On-site
Production Analyst,Flex Asepto -,Full Time,On-site
Financial Analyst,Jaffangroup -,Full Time,On-site
Methodology Analyst,APEX Pharma -,Full Time,On-site
Digital Marketing Analyst â€“ Middle East,Digital Virgo Egypt -,Full Time,On-site
Business Analyst,Global Brands -,Internship,Hybrid
Business Analyst,Gahez Digital Marketing -,Full Time,On-site
Financial Analyst & Planning,Naguib Selim -,Full Time,On-site
